t,qx,qy,qz,qw
6.048,-0.3071981257642169,0.5083104323745838,0.8009012064215302,0.07620415617703262
6.064,-0.30588013562424937,0.5070406864008762,0.8026328253807663,0.07160748973332084
6.084,-0.30427574408250135,0.5054115196605143,0.804759664162226,0.06585856280690504
6.108,-0.3023912353692514,0.5033964623107722,0.8072652025481531,0.058944340353818236
6.124,-0.3011471109605544,0.5020215025099554,0.8089091108544867,0.05432199328414225
6.144,-0.29959357735174663,0.5002689495776244,0.8109376692828874,0.048525900672960205
6.164,-0.2980294878996909,0.49847563317218335,0.8129433783601246,0.04270282257961677
6.188,-0.2961269432109318,0.4962721600962959,0.8153222369327228,0.0356710888665753
6.208,-0.294523013407712,0.49439050846571475,0.8172805423222573,0.029778093520064816
6.228,-0.2929027998456798,0.49246362597827203,0.819218252962044,0.023853321460768243
6.244,-0.29158276378699116,0.49087929512090106,0.8207635894285557,0.019082446182300927
6.268,-0.28957252695647223,0.4884520726560864,0.8230559391343404,0.011884671039015799
6.288,-0.2878784291209684,0.4863827249552379,0.8249385346185808,0.005853974146646895
6.304,-0.2865182943533275,0.48469503674607267,0.8264242048205401,0.0010109605933377914
6.328,0.28447739499401287,-0.48210636334753165,-0.8286173126164971,0.006278167682729813
6.348,0.28279167857128673,-0.479906039784407,-0.8304012304453182,0.01236349401191928
6.372,0.28089208901977203,-0.4772387976801503,-0.8324402610072857,0.019646276212943563
6.388,0.2796995411772121,-0.47542551806385525,-0.8337500668592702,0.02448610730872478
6.408,0.2782727168023875,-0.4731249199428194,-0.8353353852847245,0.030527025792566543
6.428,0.2768996348737221,-0.4707873107651944,-0.8368684579937847,0.03656616256022452
6.452,0.2752965077137154,-0.46793300801450166,-0.8386481607120507,0.04381546970451067
6.472,0.2739833365400036,-0.46551404297802274,-0.8400855696937433,0.049860231457563145
6.496,0.2724181965757554,-0.4625542495719359,-0.841765246742195,0.05712409084097503
6.512,0.27137385686192383,-0.4605484311674804,-0.8428584406411281,0.06197597438574584
6.536,0.2697971171026815,-0.457489938008748,-0.8444610453014791,0.06926770670497934
6.552,0.2687414291773392,-0.45541785232293064,-0.8455037005493545,0.07413579693129321
6.572,0.26741926796405024,-0.4527909015621616,-0.8467767271408001,0.08022785648894984
6.592,0.2660929593719787,-0.45012117561767473,-0.8480171798387866,0.0863268610080092
6.612,0.2647666450640304,-0.44740968124440755,-0.8492229641701524,0.09243136868171696
6.632,0.263433258757378,-0.44465539992318487,-0.8503962316353856,0.09854310082373448
6.656,0.2618307023703948,-0.44131051236451896,-0.851750902594211,0.10587783008136539
6.676,0.2605015593121628,-0.43849048469949226,-0.8528326466845306,0.11198887968452362
6.696,0.25918564916050074,-0.43563090874785276,-0.8538738180775048,0.1181017079237808
6.72,0.2576291853426699,-0.43214978909165835,-0.8550667010332503,0.12543803024530292
6.744,0.256177498160365,-0.428620543625042,-0.8561744136522278,0.13275124265382057
6.764,0.2550839171184674,-0.4256479973707475,-0.857021599084075,0.13881626801332048
6.788,0.253885668905659,-0.42204216708440606,-0.857955110441625,0.1460667819667553
6.812,0.2527911769808153,-0.4184287788737164,-0.8587889876141122,0.15328226447842305
6.832,0.2519560649541452,-0.41538621461381514,-0.8594192725352511,0.15928260431261185
6.852,0.25118897051560407,-0.4123166685052112,-0.8599908909293881,0.16527169595109828
6.868,0.2506183628601537,-0.4098310913773442,-0.8604115510295157,0.1700613877184781
6.892,0.24982851474547033,-0.40605973851134974,-0.8609809854333647,0.17723697329383345
6.912,0.24922546162704748,-0.40288402908234094,-0.8613988745714635,0.18320236699939402
6.928,0.2487796281139167,-0.400322986691621,-0.8616956608928816,0.18796486629203277
6.948,0.24827100347402506,-0.3970989237181173,-0.8620174931910696,0.19390666581759872
6.964,0.24790326871851653,-0.39450477734893485,-0.8622348878032203,0.1986477995410736
6.988,0.24743307946131354,-0.3905947535461795,-0.8624895841790581,0.20572877016384022
7.008,0.24717891382239018,-0.38733732806377885,-0.862615692519005,0.2115810621722875
7.032,0.2470230207470127,-0.3834291841311299,-0.8626691323313006,0.21854897872174558
7.052,0.24700001035790076,-0.38017131440887225,-0.8626378389066942,0.22431389941378066
7.068,0.24704080903229034,-0.37756395732470543,-0.8625661768896399,0.22890147943595757
7.092,0.24717936490157358,-0.3736885512195855,-0.862374449752949,0.2357319169471127
7.112,0.24737213572037928,-0.3704625160522889,-0.8621481528099177,0.2413816755178253
7.136,0.24768999248998724,-0.3665922187433059,-0.8617999290762607,0.24811427814884526
7.152,0.24794739426955342,-0.3640042348450987,-0.8615252948178099,0.2525810228003258
7.172,0.2483119324257105,-0.36076347233270717,-0.8611361397919346,0.2581384318339739
7.192,0.24871330589117693,-0.35751428750486053,-0.8606988752428553,0.2636715226532019
7.208,0.24905201489985068,-0.35490445022070344,-0.8603173435033207,0.2680857951388963
7.228,0.24949251465103664,-0.35163082515761196,-0.8598001451656656,0.27359268686348276
7.252,0.25003755644954784,-0.3476985706111731,-0.8591181522136726,0.28018373417572134
7.268,0.25040856102967773,-0.34506481330033884,-0.8586306947803939,0.2845683699324062
7.284,0.25078134149641945,-0.3424283037406411,-0.8581160925488944,0.28894350185318374
7.304,0.2512443666285851,-0.3391270964699412,-0.8574372809795212,0.2943983523454468
7.32,0.25161340399257126,-0.3364758613720591,-0.8568674234362456,0.298752252374659
